S.No,Date,Time,Title,Download status,Publisher_info,pdf_link
11,13-08-2024,22:52:52,Circular for Celebration of Independence Day-24.,0,"JAI PRAKASH SHARMA, DEAN STUDENT WELFARE OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?LITgebAXgtT1/sy3CFVSBFe9QYpucFrHokS+UCBZw1uvjLxZHBSX3MYTKO2TBOcA2bHt3SysEE1V+/JF/tMtR8l9BOMu54ml9MwzAB4nOBSkvfWPgo9/ImKJkEBqlQ6x12DulCcl962Asugp6UXSaLy1oqIwMFYcjXmKPjFSpI/pYMSCxBjg4EPRosDBxnrw
12,13-08-2024,22:52:52,B.E.  6 semester result examination held in April-May-2024 for NSIT students.,0,"LAMBODAR MISHRA, DATA ENTRY OPERATOR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?BzXqnXWe7xrdoFddvBevf3Ag+61kAsZ0IyV4orr8zXWaIdjyub7gJ3v2t9FmYD9dmHiG3MteWji/XUYtSUIFTlQiFLQDB88oeNtIuJBkAkfkLF5vSHrhElXRxx1P3jMQy63hBHN6pNQyevGVx4XJNWAFPGuyDTUxLBk0RDDhcB9BOb1aeoHabW14ZuVi0Y33Oip0nzE3csACJvFl1Fpwig==
13,13-08-2024,22:52:52,Notice Regarding Unauthorized Freshers Party.,0,"Published By: Mr PANKAJ AGGARWAL, HEAD CLERK, PROCTOR OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?dPDzM7wKUY0YTmx6dphvP8McPIgDmMXMiYUMsr1KfocfXqGRr1p5hulekllVu18kgkLBNoKKQESo5mNlwILQj1rii9g34qlmDvh8uGW8ozVvHTU2J/Nv3hchJLX5Nvk3SEa4PuKSA9i0+GixcrywXjNVnHC6WRBp25jrNlq9aH2Nmnyp7Xrj5SXCzHZKu5etG/YXi/3gwJpVvujBxccmVgRZ/GuYzSc8IB7hR4S5Lrg=
14,13-08-2024,22:52:52,B.Tech Project guidelines for CSDA & CIOT students-East Campus,0,"PRAKASH RAO RAGIRI, ASSISTANT PROFESSOR, COMPUTER SCIENCE AND ENGINEERING(EAST)",https://www.imsnsit.org/imsnsit/plum_url.php?5Owpypg5WqFdeFSu34lsACvoO8lPoV0ige/9fad/f6NPmgm7ioGwwY1CNQFinvaT3dWHZGlmQ4o+k/xLT93kl59ORm+MsEZiPo10V4Z6ZEB19udHVtcXHwOh5/vNwcXfNVMaOXFmmJ47SBZJv7V821ufDRveJC5s/FfhohJ5oM6ErePwtzLf38fakNUhIflU0oZcYpK438LxJKg3+M8QNQ==
15,12-08-2024,22:52:52,Branch Upgradation for Newly Admitted B.Tech Students of 1st Semester 2024-25,0,"TARUN KUMAR RAWAT, CHAIRMAN, ADMISSION OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?+3Y8lIU3V0Yip1sl4vqTTlQ49ivgDEqazymAlhwPRNTPfui5jTC9UPHdwOnMC1nqNC5dAyVWBuRHiONJ24F/JKPAxn4ckDI0jMB6EDvdP9IR5HV86K1W5PZX+xUqes+b/g/sWnLnlzeuwidI2dUh3jHgSjIzRnuj3WOclg+Fy4Ki02RcEMVSNq5ynQEuvyJNF9g0GF1yVJvj2kceNNU3ltd2gHqm3e74PEAe7iOEj1TqW08RtGZ4eGtVpCOYKGtX
16,12-08-2024,22:52:52,UFM Punishment Notice (For students who were caught in the End Sem Exams of Summer Semester held in July 2024),0,"Published By: Mr. DINESH KUMAR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?fZQe5B9v76wNRoZsrvNnNTn39Z7LLre1NXyQNZAnx0lI/1RQtaYiHKo30Fuwa6d7fHPWkAgAiaYbW89eg+8gLVYQT5r+4rlB227lrao7KESVmsEcKVzNfDSNuzoYVUqUV31B7FSQPkQ8ANSxa4Zq+bTWBz/cAMIom0aoo/6rivBHvTVO0zT8NbgL/EwHpyuypuyPmpnxMF7yyJPBIsUKbA==
17,12-08-2024,22:52:52,TIMELINE FOR NSP AND E-DISTRICT SCHOLARSHIP (AISHE CODE : C-6379),0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?IgUH6nK873EYOotzh2V/t+PMe1Wn8CP+EN1H0aQV12ZCIQQtvLYxIEAqsNLP2gAAjqJNtWvvppjR6PtHyque+w3Q5M4dg3T08OIV2XmEWQie95HeouvNzJoNg0i37t+LWMlegUrrM3n/E8Vdy4hcYNcc/dhmUhlsSK1DkR/2EArXScZtuQmHKpXgLIABugPRXOlDnh8Cs6yvSyNvYPTomSItAAiKWdQsDB9xra0CsUY=
18,12-08-2024,22:52:52,"EXAM REGISTRATION ON NPTEL (LAST DAY TODAY,12-08-2024)",0,"ANAND GUPTA, COORDINATOR NPTEL, COMPUTER SCIENCE AND ENGINEERING",https://www.imsnsit.org/imsnsit/plum_url.php?Ulmvutb47OoauhGcgH7APib08DgEhbykNTLTJLiAabjh3BzEk97BDsDg1nVnA7xxXe7ocd9mPr71TagRYRHjPvvBkWzBJO4WSXLQMVRvDOWmn2nHJiKfHvF/odPuOPBvYVwinqpXdhG4jr8PPromE9KOEKUBWotnedPJqTI30WzQuNxZMdrnTH12VDm8JhQaYH34tkBaVuFOCfQ6VF+gXTXGjTpHmQ8t4ZO8mGJx378=
19,10-08-2024,22:52:52,"Timetable for BTech 1st Semester, East Campus Students - CSDA, CSIOT, ECAM 1, ECAM 2",0,"VINAMRITA SINGH, ASSISTANT PROFESSOR, EAST CAMPUS",https://www.imsnsit.org/imsnsit/plum_url.php?1Ls/Ng3aH6TjMQI/Dt2Tg5WJh4ZQv0yvVxbmkVpOYLAvR565Vb9mE6yhUUdhL950Dyx2a5EVby5FpvWgnYMfeQ1nYXBDPtJQlvaHYL8rcNhg2ixvTBKY4YSYR+ssS4WSCns2n1azwite83moH+1fGo4kyulper4cwT0ay2yJUQjK5nF5KgdwAbxcGwrDTXdU
20,10-08-2024,22:52:52,Cancellation of Admission of newly admitted students who have not paid the Balance Fee,0,"TARUN KUMAR RAWAT, CHAIRMAN, ADMISSION OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?YQ4OqnUGXzEZkfKrtstVxjIGM5a39oajm/6qfRDuePQ8vVMTkJ1Z0JazfpiUnP4r1MzxdeHPowrSbMlmUruGVmKyb01Re6cTHugoa10pB925vsmkfQcWfNACMTNTsfgjLEmmiEZyN7vJ8ZfyGU+Py6ArZmAAzPx65EV3E9wNKOk5gcqHhP4qiulWWFcfLjfUlNWjZZYm/i8zMx5DwlBPHA==
