"Notice","Link","Tags"
"All students with backlogs are advised to check the updated schedule on the official website. This notice is applicable to all branches including CSE","https://www.imsnsit.org/imsnsit/notifications.php","Exam Schedule, B.Tech, ECE, backlog"
"First Semester Backlog/Improvement Time table (Only for Main Campus Students who are currently in V and VII Semester)","https://www.imsnsit.org/imsnsit/notifications.php","Backlog"
"Results of BBA for Summer Semester Year 2023-24 are published.","https://drive.google.com/drive/folders/1ViJ0LzCHrziXoBrGuB800yBOvCsW_gsv","Results"
"Students of NSIT Batch 2018 who appeared in the End Semester Examination held in November-December 2024 are required to re-register","https://www.imsnsit.org/imsnsit/notifications.php","Time Table, Exam Schedule, ECE, Backlog"
"The following students have applied online for the above said scholarship but till date they have not submitted the hard copy of the same.","https://www.imsnsit.org/imsnsit/notifications.php","Scholorship"
"Mass bunking of classes is considered a serious act of indiscipline. Students found involved in mass bunking will face strict disciplinary action.","https://www.imsnsit.org/imsnsit/notifications.php","Warnings"
