S.No,Date,Time,Title,Processed_status,Publisher_info,pdf_link
15,12/8/2024,0:10:15,Branch Upgradation for Newly Admitted B.Tech Students of 1st Semester 2024-25,0,"TARUN KUMAR RAWAT, CHAIRMAN, ADMISSION OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?quc+/B+oiow4gGWMnE5qaaOK94AraIH6NBzxwKUQ1OizWE6DozaszgL6m1vUs+1iLLv+2688+ze+dRLW9/sWJFXIgPpH6iZMaX1mC3qSUMENyz98mnPiW/A+ARH4CAtLcLpRu11x5IM216nKo/nP6QHBxY0o/yNB0wlToU1hV+zek58QNaSNNzSG9fcCjPNiyMJRw/EQrfIzx7VCTvt3iW27Jw0DbkWqPOfJQaJz4eE8LEWapF5uLlbxH+Ybjdzn
16,12/8/2024,0:10:15,UFM Punishment Notice (For students who were caught in the End Sem Exams of Summer Semester held in July 2024),0,"Published By: Mr. DINESH KUMAR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?G8/f/mbOGi836BH/cDBocoXqiUNLsN6ciVvMOMg89SAazJoTZuHJqrlL+5i1PlTlijcg+e9cwJq7ZTmdKB4dPwnn+RKoITPg1Q/4L90/y+hXCTm/bLiud5OTvaC0k+ciT1YEs+cK0mmnE8V6Tc7zCHYASjkSANy9MByawWhkbBYgL+rvVKPLrg3g4le//wC8clOfAsWhTgRqUv0d0POtOw==
17,12/8/2024,0:10:15,TIMELINE FOR NSP AND E-DISTRICT SCHOLARSHIP (AISHE CODE : C-6379),0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?4k/PZdFzwtHS6pM2m4auwhj0TDNsS4i7FhC4jgDSIGdz6mIt+2iCBdBp6ETU9oW6WjjO9w4fRm68dRgX3//Ssj3w4YK3ECIbuBn4mvspc1eCdwShUACfpVXuW2SMU3BCTWgRvTT9qwIp3wwODDh16PgfkSTxmKL3QUxrR5+wKN0Hv61HcZ91Yzel4wuAjm5xwNW4rS2Kc/UYPAHCg0Yi/V+5II8XBG6xU8ANhsvepfM=
18,12/8/2024,0:10:15,"EXAM REGISTRATION ON NPTEL (LAST DAY TODAY,12-08-2024)",0,"ANAND GUPTA, COORDINATOR NPTEL, COMPUTER SCIENCE AND ENGINEERING",https://www.imsnsit.org/imsnsit/plum_url.php?ZetaS+pA+NIG4NyPh9/CnKpfoGZbsaVPSUp+YnQNLP1ieHd1PU6ws+j3bnLE9Nq2xjo4iEY6Jp8RQ/hYf9FUukO5muDUTs1QOku/XS2yK0FfkSD26GFn21G05aWSaq3cT4ROqDqYYae30RGmBUtGsNdY/+Pff3UXeX/Mml9oUBSygBAHpeXTLCeS3uOfjNObM1p0QpvONOsgS7W+ZY4Tv5iiE1anAu2JaSPpHYhttlk=
19,10/8/2024,0:10:15,"Timetable for BTech 1st Semester, East Campus Students - CSDA, CSIOT, ECAM 1, ECAM 2",0,"VINAMRITA SINGH, ASSISTANT PROFESSOR, EAST CAMPUS",https://www.imsnsit.org/imsnsit/plum_url.php?hIwvVY74Mzetpa75h+uKi/zZOU+eidmqtOst19qzXs0kXvRq0KjIIxe2OeR4JDvLhKbDIVJOdUXYg9ClC2Sua215vsWF7o++U1xBHbpocN1ESSAqWFciZM3n2u9zfOttnbujAQU7NEUmmGjIOjK9FYGfZfIPyTNsqZ3wpjRKfTJKumBg7VLpcaVANamlgfiA
20,10/8/2024,0:10:15,Cancellation of Admission of newly admitted students who have not paid the Balance Fee,0,"TARUN KUMAR RAWAT, CHAIRMAN, ADMISSION OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?yJ4EmLOgwF7PucrfNHoLBPZ1JKeMtUTirNQQCNlQCOj0wio4GsP7Hj9gHPfFSGnRx0y6QHP2PyBdHpA41SjY8lFuPtPKljt9cQkch8I/BYksOSGYYunetC5ciuBL+UqIqTbbOKM01OcwVoW+o5DU/ku/PIQhXOJRIeWKv7eVf+sdxFxOhc7dGbbMPT1NjoWpp2Ku2suxAGrseJNwDdD2/Q==
21,10/8/2024,0:10:15,Summer Semester Practical Examination of the course code AEPH201 (Computational Physics Lab),0,"Published By: DR PARGIN BANGOTRA, ASSISTANT PROFESSOR, PHYSICS",https://www.imsnsit.org/imsnsit/plum_url.php?6glNiD+/a5Ts3etnS5/8Dj43DpPCfK5oDP6vEfxEuxoujVspggi0E1nXk/Cf6qLSC32HlWcH4sX350P4sQ/VEn7RZPPuWwxW8Vqf3NEObahEkvu++3lseSDWzHUOzXXtUR9Qv7iEyIg4UqebBojFNeUCmGvmnEEdeqOM/EADCagZKxdmNcIQXO47IOOLNi6npB+TMJSW8TuyASU/Ei9Ls//FHxQTPSmQY/mZYDG26KI=
22,9/8/2024,0:10:15,NOTIFICATION REGARDING STUDENT ARE ALLOW TO PAY THEIR ANNUAL FEE IN TWO INSTALLMENTS WITH FINE IN THE ACADEMIC SESSION 2024 - 2025,0,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?lzIQbvnOQ4SwAaIoAQ+5qI63LzkBYyEvR6xbwpyy21ROPxmtU4QFgTy5wQumGOROxr2Cxa201XXCHxD3ENWtK5i2MP5kidD1V4MO4/ryymPHEBtSjBYXgKMsrUCriZg8yrCTJ3kBs9eqvFey9GE2gDEm/5gznSGlSRU+pu5trQ9SJpo3gWh7HZrU0J2iXtFZ/WpM7N9L4RJzzx/U7bGEVw==
23,8/8/2024,0:10:15,NCC RECRUITMENTS 2024,0,"Published By: Dr. SUMITA DAHIYA, ASSISTANT PROFESSOR, MATHEMATICS",https://www.imsnsit.org/imsnsit/plum_url.php?FlZ7Hw5w574edzSuHnq2gokhu/7Rmmtgzvi+OkjY282yz2fxdrvSIE1bbwzqIgkl3QceU2YkAqhq2R75J1XuykC6iTM0C4fFM3zzEcDYB0CQFR8Qu/YsnpyN0tPk/gG13atBYFKD0y+JNILFPLddvmLdl70/vcfe9HH0JnecrJytxZFFOoo+EvgToVhkbQl4FBd+cBvnRMU1GbfOQCjXbg==
24,8/8/2024,0:10:15,"BRAIN 2024 CONFERENCE SCHEDULE AND ROLE OF MODERATORS AT DMS, NSUT",0,"Published By: SH HIMANSHU, ASSISTANT PROFESSOR, MANAGEMENT STUDIES",https://www.imsnsit.org/imsnsit/plum_url.php?YxucHOhs47jTjRmJkuCdh/mijL2a+W4ZwyEIxlA1xlxqNGIJ7EyyQBIKecO6PxmoCzcUze8FJ2D3gmXimS3fH4KvdYE2+LQW3dy2i7PD2RJv2Oa0m/p5Yx2iJbwGD+QxIgfJ4uaJ8iuPViba2P3vN7ITSvjshlfyslgNsh+GdxrxDiW+T2kndIHbkR1vqLtrG1jdFauLzXm01/y2gfOVysiAr5qJbHtdY6tM1qqUhyGxBlTQDWbgqw9dcLIt94bh
