S.No,Date,Time,Title,Processed_status,Publisher_info,pdf_link
11,13-08-2024,01:22:37,Circular for Celebration of Independence Day-24.,1,"JAI PRAKASH SHARMA, DEAN STUDENT WELFARE OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?3zpGJh+V96oFQzwTf8e+Z52HJFvScGjN+RXSQonK6T94JpbZpbDJ8nGcBMpnkg9oE28/8l2X5SHl6hc6IE4mrw7Dq+Q+6xiYAvvCUmmjlMuDzMXwTfwrzhU4vqDsD4YK+nVfFF/fBkomSA7PV3SYHgYwtZYCdj8D35HH8qFW5zfjU23f/DeAsljkOkClwlgL
12,13-08-2024,01:22:37,B.E.  6 semester result examination held in April-May-2024 for NSIT students.,1,"LAMBODAR MISHRA, DATA ENTRY OPERATOR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?5hYYemG5paplMnHRaVvjorjPcPlBCt+7REbUQKfo/4tnwCnQqsAKs93UfrLziLO5M1rgzC4lZaouM6WhiUQcQP+sJ9ro/pRcOcj2rZJxE1PoVlGdpAyaazTvsSar0Bfvvt6OrUQyC4SL3szXinJ7/PcnM0fHcU+NQMkSa5j998BHTnq3yK82gw99GAC3h9Quvk44aX9UFdb4pSiU/7GfiA==
13,13-08-2024,01:22:37,Notice Regarding Unauthorized Freshers Party.,1,"Published By: Mr PANKAJ AGGARWAL, HEAD CLERK, PROCTOR OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?6OpdsLMNIvYfrbWa2yuXi2/ffmQCuOCT9rsedH0edN4Ayc7gYcmMkHNb1LAWjg0+s8dF2+oR9lCKlrObAfrtEgdIFxj6bT4IKnzkAet6Tn+Bd8htOPF4zY/WFEQVR41TdcAZPrmVYatBfTzyjvkAXx0A3sNnO5IL2V4XVtAHC3M5d7aj2VzqTfZ+uL+Dkv9ODqBp4tmdoe0NgNcTSDI9RHdkoA9hVo2QMyEGc9CFnHY=
14,13-08-2024,01:22:37,B.Tech Project guidelines for CSDA & CIOT students-East Campus,1,"PRAKASH RAO RAGIRI, ASSISTANT PROFESSOR, COMPUTER SCIENCE AND ENGINEERING(EAST)",https://www.imsnsit.org/imsnsit/plum_url.php?NmZDW1Zz49o6S8+0IImwhiUM0RuWzJ+Gs8W65razxQ6yYbBjinQ6IY3OVAXDtmkEclBTtbuRKLd5A2jihuQ26FkQ/Puo+zPsJWDUPzscymYiOTliNkwaWv42eCvzEEgNEZ7bk+IZUUFKAETR+na6wBxu2C36h4+ccBUuZsJ+VEbJQe+Ap5N1RF7xRBU/qg9IQ+VSOeatxCE9tV/WkvW9IA==
15,12-08-2024,01:22:37,Branch Upgradation for Newly Admitted B.Tech Students of 1st Semester 2024-25,1,"TARUN KUMAR RAWAT, CHAIRMAN, ADMISSION OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?2xduNpbfuBQ6UUzJB/EKlNlg8iWKcVqKO4jXBeNQw7T7FX2r1CHZQ6GdzYJKNp4BAVXKEk2frvntXydUkXHXvbuaiylDed5UaB1EiFRSA3XXEXQCKNAIojjTeI5zF4QBJosass6WlNskYvOJORcFQ9QYlIRK0YACV32n77QdFCMCGtie9/4lO9Lt+EDbEe8bhDtP+dYwN6iyPq9yKxOYssZzJOnwQPQsQ64t470kFvvWP55mvEOC/LjVw+XvGZ2L
16,12-08-2024,01:22:37,UFM Punishment Notice (For students who were caught in the End Sem Exams of Summer Semester held in July 2024),1,"Published By: Mr. DINESH KUMAR, EXAMINATION SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?t0oxKvpJ4+O4mMyaAyZ13T5tjAN2j8Gvz8DNVPTUniEVzNsNp+tfqkwEB6iDUoj5WBtakAQC1WELhZ0vpFhYRbxNz1hlJ6YPvTUVCk2cHnECq548ZRZMIvvnUxNR9B77LXyOTN1kRGgWLNFWSW6Fzmv8RqKu3M0kGXCXjD1QuhXjnFD5Z9lqKtdBwcCbh+fgt/jlGe4y0scFGqucOSKsDg==
17,12-08-2024,01:22:37,TIMELINE FOR NSP AND E-DISTRICT SCHOLARSHIP (AISHE CODE : C-6379),1,"Published By: Mrs MAHESHWARI CHANDRA, SECTION OFFICER, ACADEMIC SECTION",https://www.imsnsit.org/imsnsit/plum_url.php?jASQKbGfngO6VPzgvzMY0lgrQgcammRfYK8Gx2jsZCeTCqequ6Nym5to2gH1gMB2Fg8tV5tFxWg6HArnp0x9jfOAGBnybQST/CJKwyxGyd28qGKKL8bmp0hjGG7gn0hOCtJbXVg8j/W2E59aWAMy93C6kCqAkl7wnfcjUnDcTucOUJ6Uum+44X6PH8+lvT9wc0GXhFWB+AejK8WJ4KxssENSSIy3W1XfWhjrNUXdhNQ=
18,12-08-2024,01:22:37,"EXAM REGISTRATION ON NPTEL (LAST DAY TODAY,12-08-2024)",1,"ANAND GUPTA, COORDINATOR NPTEL, COMPUTER SCIENCE AND ENGINEERING",https://www.imsnsit.org/imsnsit/plum_url.php?cnrLuScdBqHbJ+iXR2IhIFmD0/Qltn7f+tRsTCCu/Y6g53C9+JDGn7DVvspiwb2X0Ts3VYuGkBSbk9VO8s/I8093zZTxzS1kp5A4QuI2jGKOdGhw4O9NZaoRBLM9idnNvBWOC+vKgYdbIwhZhoPit8jdpAgFvxoGtT5n3oUfiWpVAGQ1S5BHuBbxTognfDyFLao7v+BIax2rGJuov8C04tx9dkiHRkdmyIbuvPrZ8CI=
19,10-08-2024,01:22:37,"Timetable for BTech 1st Semester, East Campus Students - CSDA, CSIOT, ECAM 1, ECAM 2",1,"VINAMRITA SINGH, ASSISTANT PROFESSOR, EAST CAMPUS",https://www.imsnsit.org/imsnsit/plum_url.php?ghnWU5NRp1QYu8My2TNcTYbL2BQfU0oWQyjml0xv/pXLtLpZyxYbCM7fbf430/RA+BBhBsRGVKdzJF5r08QZKmTZuMvdtpU9sDjWfZLyNdCkKYZZVisqrMsD6ACJV3GLR1SivhGQZuRsPA7iqi6eBT6xZk/BbQc/nTRGskaw/aY7Tvrn1hmyrwwa1oO7Egiq
20,10-08-2024,01:22:37,Cancellation of Admission of newly admitted students who have not paid the Balance Fee,1,"TARUN KUMAR RAWAT, CHAIRMAN, ADMISSION OFFICE",https://www.imsnsit.org/imsnsit/plum_url.php?Xm3KcbfEdZoMoXuZQ+ejNNF5m0M4rWaInOnbI6UYCNfope00sAAiFA7ksy5SjqTluBjBTvtU403q4MQ8IJAnWAWtoshdh5pBpAGirWPUht1MzFw0d782j4VzlZkoHYeRnzSviBHED4JnVITZqrG2WzSsVWLns0gYm/a6TK86f+egqBdj+oU4whbZYXq2I0SQi5h9+LB0iXJM/MBeVTrZjw==
21,10-08-2024,01:22:37,Summer Semester Practical Examination of the course code AEPH201 (Computational Physics Lab),1,"Published By: DR PARGIN BANGOTRA, ASSISTANT PROFESSOR, PHYSICS",https://www.imsnsit.org/imsnsit/plum_url.php?cygkUyMBHe2ZkIo+j4t/I8Fe5T/zU2Hcjf/TRgx5YZUhyqc3AtebLiMW59lWa/KmYbjsctp1JT/fKqL5zZjUXMN02CHiZqBwZvHuv87X6lEVT8843T2NeDbGbgwbCr2HMkM25MUegtBD9xnlaCtSr+G4t71ZEiL+rJaSnpHETIa/hRgZwVeTRmwlyI2mKoiABWD1SpG0/AzmsV3d4/+xXXfXqEoFehmx2Gm6kDN9leo=
